Deal Description,Title,Description,Original Price,Sales Price,Rating,Deal URL,Normal Link,Image URL,Category,Date Found,Promo Start date,Promo End date,Finder,How Found,Deal Status,Website Status,Email Status,Socials Status,Social Affiliate Link (Short),Notes
💥 Save 25% OFF Tabernash 6p tent (was $219 now $164),,,,,3,https://www.avantlink.com/click.php?tt=el&merchant_id=8377f025-608d-4a3a-855b-b38039ee9529&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fsierradesigns.com%2Ftabernash-6-person-tent%2F&ctc=honeyhole,https://sierradesigns.com/tabernash-6-person-tent/,,Manual,11/13/2024,,,Hannah Ball,Manual,Dead,Removed,Ignore,Posted,https://alnk.to/c09hVD7,
😍 Save 32% OFF of  Vortex Diamondback 10x50 Binoculars (was $249 now $169) ,,,,,3,https://www.avantlink.com/click.php?tt=el&merchant_id=e21b2ad7-382e-4db9-b77e-22f8b11c5c01&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.scheels.com%2Fp%2F87587400173%2F%3FqueryID%3D7350806c6dd851be1245d38d0bb73c38&ctc=honeyhole,https://www.scheels.com/p/87587400173/?queryID=7350806c6dd851be1245d38d0bb73c38,,Manual,11/13/2024,,,Hannah Ball,Manual,Dead,Removed,Ignore,Ignore,,
💥 SAVE $130.01 on Men's Irish Setter Pinnacle 9in 400g Waterproof Boots,,,,,5,https://www.avantlink.com/click.php?tt=el&merchant_id=e21b2ad7-382e-4db9-b77e-22f8b11c5c01&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.scheels.com%2Fp%2F19297650216%2F%3FqueryID%3D73db442fe0f584300bfe5fd5f971cb19&ctc=honeyhole,https://www.scheels.com/p/19297650216/?queryID=73db442fe0f584300bfe5fd5f971cb19,,Manual,11/13/2024,,,Hannah Ball,Manual,Dead,Removed,Ignore,Ignore,,
🎅🏽 STOCKING STUFFERS - Ultra-Sil Packable Day Pack  ,,,,,2,https://www.avantlink.com/click.php?tt=el&merchant_id=31b24f74-cc43-486e-af62-2378a089ed77&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fseatosummit.com%2Fproducts%2Fultra-sil-day-pack&ctc=honeyhole,https://seatosummit.com/products/ultra-sil-day-pack,,Manual,11/13/2024,,,Hannah Ball,Manual,Dead,Ignore,Ignore,Ignore,,
⚡️TAKE $89.75 OFF Men's Sitka Stratus Jacket (was $359 now $269) ,,,,,4,,https://www.scheels.com/p/mens-sitka-stratus-jacket/10496-50242/,,Manual,11/13/2024,11/2/2024,11/17/2024,Hannah Ball,Manual,Dead,Ignore,Ignore,Ignore,,
🌊 38% OFF Original Puffy V1 - Rumpl ,,,,,4,https://www.amazon.com/dp/B086Q6XFF2?social_share=cm_sw_r_cso_cp_apin_dp_V6D7TR182K973JSGA4QJ&peakEvent=1&starsLeft=1&skipTwisterOG=1&th=1&linkCode=ll1&tag=honeyhole-email-20&linkId=f5cfdef75eabc0c13b91e3ae0dc216fe&language=en_US&ref_=as_li_ss_tl,https://a.co/d/gwXyHaw,,Manual,11/14/2024,,,Hannah Ball,Manual,Dead,Ignore,Ignore,Ignore,,
❄️ ONLY $49.95 SnoStrip | Protective Ski & Snowboard Vehicle Mount (Magnetic) ,,,,,2,https://www.amazon.com/dp/B08P5X5DLX?&linkCode=ll1&tag=honeyhole-email-20&linkId=a0d3c9cafc37ab21be87fbc9c5679629&language=en_US&ref_=as_li_ss_tl,https://a.co/d/7pJGkdF,,Manual,11/14/2024,,,Hannah Ball,Manual,Dead,Ignore,Ignore,Ignore,,Saw this on shark tank and love it 
🥶 30% OFF Cordova Coolers & Products Sitewide (Hard Coolers Made in USA!),,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=e076837a-e03b-4f78-858e-c4d87af4c924&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fcordovaoutdoors.com%2F&ctc=honeyhole,https://cordovaoutdoors.com/,,Affiliate Email,11/15/2024,11/18/2024,12/2/2024,Chase Fly,Affiliate Email,Dead,Removed,Sent,Ignore,,
⛺ 50% OFF Sea to Summit Tents,,,,,5,https://www.avantlink.com/click.php?tt=el&merchant_id=31b24f74-cc43-486e-af62-2378a089ed77&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fseatosummit.com%2Fcollections%2Fcamping-tents-tarps&ctc=honeyhole,https://seatosummit.com/collections/camping-tents-tarps,,Affiliate Email,11/15/2024,11/24/2024,12/2/2024,Chase Fly,Affiliate Email,Dead,Removed,Sent,Ignore,,
40% OFF Sea to Summit Sleeping Bags,,,,,3,https://www.avantlink.com/click.php?tt=el&merchant_id=31b24f74-cc43-486e-af62-2378a089ed77&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fseatosummit.com%2Fcollections%2Fsleeping-bags&ctc=honeyhole,https://seatosummit.com/collections/sleeping-bags,,Affiliate Email,11/15/2024,11/24/2024,12/2/2024,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,
40% OFF Sea to Summit Dry Bag,,,,,3,https://www.avantlink.com/click.php?tt=el&merchant_id=31b24f74-cc43-486e-af62-2378a089ed77&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fseatosummit.com%2Fcollections%2Fdry-bags&ctc=honeyhole,https://seatosummit.com/collections/dry-bags,,Affiliate Email,11/15/2024,11/24/2024,12/2/2024,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,
"BOGO: Buy One, Get One PAKA Crew Socks (was now)",,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=7bc197a1-6d43-4cc5-a16f-6bb3ee0c391e&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.pakaapparel.com%2Fcollections%2Falpaca-socks&ctc=honeyhole,https://www.pakaapparel.com/collections/alpaca-socks,,Affiliate Email,11/15/2024,11/1/2024,11/26/2024,Chase Fly,Affiliate Email,Dead,Ignore,Ignore,Ignore,,"NOt clear from the website if this is real, but learned about it from affiliate agency https://docs.google.com/spreadsheets/d/1Dm-Ers65rRatou4L9rE231Cxzy5nHkq4o_zsxBN1h5U/edit?gid=1266644105#gid=1266644105"
📢 20% OFF Rocky Talkies: 5W Radio has never been on sale (was $180 now $144),,,,,4,https://rockytalkie.pxf.io/Z6de2K,https://rockytalkie.com/products/5-watt-radio,,Affiliate Email,11/15/2024,11/26/2024,12/5/2024,Chase Fly,Affiliate Email,Dead,Removed,Sent,Ignore,,
🔥 Up to 40% OFF SOLO Stove,,,,,3,https://solostove.pxf.io/BnX7gq,https://solostove.com/en-us,,Affiliate Email,11/15/2024,11/25/2024,12/3/2024,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,
🔥 Up To $350 OFF Solo Stove Fire Pit Bundles,,,,,3,https://solostove.pxf.io/OeRLXZ,https://solostove.com/en-us/c/holiday-deals,,Affiliate Email,11/15/2024,11/18/2024,11/24/2024,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,
White Duck Canvas Tarps,,,,,0,https://whiteduckoutdoors.sjv.io/9LW0k3,https://whiteduckoutdoors.com/collections/canvas-tarps/products/18-oz-100-cotton-canvas-tarp?variant=40103545962595,,Affiliate Email,11/15/2024,,,Chase Fly,Affiliate Email,Dead,Ignore,Ignore,Ignore,,"Not sure if it's valid, but should promote if so"
🎪 20% OFF White Duck Regatta 360 Canvas Tent (was $930 now,,,,,4,https://whiteduckoutdoors.sjv.io/vPnYMj,https://whiteduckoutdoors.com/products/13-regatta-360-mesh?variant=44922943209781,,Affiliate Email,11/15/2024,11/25/2024,12/2/2024,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,
🎪 20% OFF White Duck Regatta or Alpha Wall Tents (was $930 now,,,,,4,https://whiteduckoutdoors.sjv.io/LKP76Y,https://whiteduckoutdoors.com/collections/canvas-tents/products/wall-tent-14x16?variant=19988259831908,,Affiliate Email,11/15/2024,12/2/2024,12/2/2024,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,
"🤑 FREE Bonus Gifts When You Purchase Select RTIC Coolers (free drinkware, soft coolers, accessories)",,,,,3,https://rticoutdoors.pxf.io/RGyDAX,https://rticoutdoors.com/shop/holiday-gift-guide/bundles,,Affiliate Email,11/15/2024,,,Chase Fly,Affiliate Email,Dead,Removed,Sent,Ignore,,
🚴 50% OFF Kids Bikes at Decathlon! ($99 to $179 with free shipping),,,,,4,https://decathlonamerica.sjv.io/mOgkL7,https://www.decathlon.com/collections/kids-bikes,,Affiliate Email,11/15/2024,11/14/2024,,Chase Fly,Affiliate Email,Active,Removed,Sent,Posted,https://decathlonamerica.sjv.io/9LzV3j,
30% OFF Maven B.7 Binoculars!,,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=8a2786eb-d963-45a4-997a-606a00112397&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fmavenbuilt.com%2Fcollections%2Fbinoculars%2Fproducts%2Fb-7-8x25-10x25&ctc=honeyhole,https://mavenbuilt.com/collections/binoculars/products/b-7-8x25-10x25,,Affiliate Email,11/15/2024,11/28/2024,12/2/2024,Chase Fly,Affiliate Email,Dead,Removed,Sent,Ignore,,I have these and can say something about them
30% OFF Maven B.2 Binoculars!,,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=8a2786eb-d963-45a4-997a-606a00112397&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fmavenbuilt.com%2Fcollections%2Fbinoculars%2Fproducts%2Fb-2-9x45-11x45%3Fvariant%3D32119386669134&ctc=honeyhole,https://mavenbuilt.com/collections/binoculars/products/b-2-9x45-11x45?variant=32119386669134,,Affiliate Email,11/15/2024,11/28/2024,12/2/2024,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,
"FREE Custom Upgrades, plus 10% off all customs at Maven Optics",,,,,2,https://www.avantlink.com/click.php?tt=el&merchant_id=8a2786eb-d963-45a4-997a-606a00112397&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fmavenbuilt.com%2F&ctc=honeyhole,https://mavenbuilt.com/,,Affiliate Email,11/15/2024,11/25/2024,12/31/2024,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,
25% OFF ALL Princeton Tec Headlamps and Camp Lights (+FREE Gift with purchases of $125+),,,,,3,https://www.avantlink.com/click.php?tt=el&merchant_id=69c51db6-4233-4527-8d4f-4b6dd5810a54&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fprincetontec.com%2Factivity%2Fcamping%2F&ctc=honeyhole,https://princetontec.com/activity/camping/,,Affiliate Email,11/15/2024,11/17/2024,12/2/2024,Chase Fly,Affiliate Email,Dead,Removed,Sent,Ignore,,
"Up To 60% off FLASH SALE at Academy! (1 DAY ONLY, Mon, 11/18)",,,,,3,,,,Affiliate Email,11/15/2024,11/18/2024,11/18/2024,Chase Fly,Affiliate Email,Dead,Ignore,Ignore,Ignore,,
